Selection	High Freq (Hz)	File Offset (s)	filename	duration	marginals
1	49.7	48860426.0	nn01a_20180126_000000.wav	6262.2	
2	47.9	48865.1	nn01a_20180126_000000.wav	3.8974	
3	49.7	48869.829	nn01a_20180126_000000.wav	4.2672	
4	58.1	48876.017	nn01a_20180126_000000.wav	4.064	
5	57.1	48880.487	nn01a_20180126_000000.wav	4.3227	
6	57.1	49017.105	nn01a_20180126_000000.wav	3.5837	
7	51.5	51113.721	nn01a_20180126_000000.wav	2.9927	marginal
8	46.5	51117.157	nn01a_20180126_000000.wav	3.1034	
9	40.801	51405.606	nn01a_20180126_000000.wav	2.433	marginal
10	40.2	47942.93	nn01a_20180203_000000.wav	1.9582	marginal
11	34.866	47946.2732	nn01a_20180203_000000.wav	2.2954	marginal
12	42.3	47960.036	nn01a_20180203_000000.wav	3.0296	
13	49.703	20086.5734	nn01a_20180220_000000.wav	2.6625	
14	52.9	6205.507	nn01a_20180305_000000.wav	5.7266	
15	47.6	6377.209	nn01a_20180305_000000.wav	3.6576	marginal
16	65.5	7479.007	nn01a_20180305_000000.wav	4.6182	
17	62.4	7693.899	nn01a_20180305_000000.wav	7.0197	
18	39.73	7944.7452	nn01a_20180305_000000.wav	7.5279	marginal
19	83.5	8078.18	nn01a_20180305_000000.wav	6.5763	
20	69.8	8211.066	nn01a_20180305_000000.wav	5.431	
21	52.591	8412.6311	nn01a_20180305_000000.wav	7.6513	
22	47.6	8543.191	nn01a_20180305_000000.wav	4.5074	
23	62.4	12242.183	nn01a_20180305_000000.wav	5.1539	
24	62.4	12258.07	nn01a_20180305_000000.wav	6.8719	
25	74	12317.538	nn01a_20180305_000000.wav	5.7266	
26	52.9	12443.605	nn01a_20180305_000000.wav	6.7241	marginal
27	69.8	12575.383	nn01a_20180305_000000.wav	6.798	
28	74	12823.932	nn01a_20180305_000000.wav	7.6108	
29	61.3	13055.139	nn01a_20180305_000000.wav	9.4211	
30	60.3	13558.577	nn01a_20180305_000000.wav	5.8374	marginal
31	49.7	13774.134	nn01a_20180305_000000.wav	5.4864	marginal
32	65.5	13795.47	nn01a_20180305_000000.wav	5.9297	marginal
33	43.6	13806.558	nn01a_20180305_000000.wav	6.9273	
34	45.5	13865.157	nn01a_20180305_000000.wav	6.4471	
35	79.3	14644.843	nn01a_20180305_000000.wav	7.2783	marginal
36	88.5	15025.688	nn01a_20180305_000000.wav	2.3646	
37	182.9	16654.149	nn01a_20180305_000000.wav	6.096	
38	66.6	16762.26	nn01a_20180305_000000.wav	5.5049	
39	75.1	16833.587	nn01a_20180305_000000.wav	7.1305	
40	112.1	17069.819	nn01a_20180305_000000.wav	4.8768	
41	74	17100.077	nn01a_20180305_000000.wav	5.1724	
42	41.543	17799.2167	nn01a_20180305_000000.wav	5.4321	
43	46.736	17822.42	nn01a_20180305_000000.wav	4.9448	
44	63.056	17830.622	nn01a_20180305_000000.wav	5.5329	
45	66.766	17838.454	nn01a_20180305_000000.wav	5.7503	
46	60.089	17848.7723	nn01a_20180305_000000.wav	6.9629	
47	50.445	17858.59	nn01a_20180305_000000.wav	6.6761	
48	63.798	17869.954	nn01a_20180305_000000.wav	6.917	
49	45.5	17880.077	nn01a_20180305_000000.wav	5.5418	
50	37	17895.543	nn01a_20180305_000000.wav	3.3251	
51	172.3	17903.612	nn01a_20180305_000000.wav	4.6182	
52	53.9	17914.921	nn01a_20180305_000000.wav	3.9532	
53	40.801	17928.1011	nn01a_20180305_000000.wav	6.4197	
54	45.252	17939.915	nn01a_20180305_000000.wav	6.7539	
55	43.3	17951.7	nn01a_20180305_000000.wav	5.0985	
56	49.703	19669.171	nn01a_20180305_000000.wav	5.9987	
57	53.9	19675.581	nn01a_20180305_000000.wav	3.4729	
58	56.38	19678.888	nn01a_20180305_000000.wav	6.3064	
