File Offset (s)	duration (s)	Begin File	uniqID	Tag1	Tag2
63209.6831	7.696	nn08c_20181118_000000.wav	nn08c_1199	1	
63231.2984	8.076	nn08c_20181118_000000.wav	nn08c_1200	1	
63627.2087	6.236	nn08c_20181118_000000.wav	nn08c_925	1	h
63641.161	7.87	nn08c_20181118_000000.wav	nn08c_926	1	
66441.0448	7.155	nn08c_20181118_000000.wav	nn08c_927	1	h
66531.0416	8.28	nn08c_20181118_000000.wav	nn08c_928	1	h
66783.1626	5.843	nn08c_20181118_000000.wav	nn08c_1201	1	
67175.5541	6.031	nn08c_20181118_000000.wav	nn08c_929	1	h
75310.6349	2.66	nn08c_20181118_000000.wav	nn08c_1202	1	
18.1855	4.834	nn08c_20190216_000000.wav	nn08c_998	1	h
32.9055	6.03	nn08c_20190216_000000.wav	nn08c_999	1	
211.0536	6.03	nn08c_20190216_000000.wav	nn08c_1000	1	h
217.8509	4.242	nn08c_20190216_000000.wav	nn08c_1001	1	
230.0655	6.695	nn08c_20190216_000000.wav	nn08c_1002	1	
368.1514	5.519	nn08c_20190216_000000.wav	nn08c_1003	1	
380.1616	6.184	nn08c_20190216_000000.wav	nn08c_1004	1	
761.3084	3.577	nn08c_20190216_000000.wav	nn08c_1005	1	
768.9745	4.088	nn08c_20190216_000000.wav	nn08c_1006	1	
787.322	5.469	nn08c_20190216_000000.wav	nn08c_1007	1	h
793.7615	2.811	nn08c_20190216_000000.wav	nn08c_1008	1	
796.6746	2.555	nn08c_20190216_000000.wav	nn08c_1009	1	
873.8979	5.928	nn08c_20190216_000000.wav	nn08c_1010	1	
884.1704	5.11	nn08c_20190216_000000.wav	nn08c_1011	1	h
1205.221	2.862	nn08c_20190216_000000.wav	nn08c_1012	1	
1208.6453	2.249	nn08c_20190216_000000.wav	nn08c_1013	1	
1468.8301	3.782	nn08c_20190216_000000.wav	nn08c_1014	1	
1913.7169	4.344	nn08c_20190216_000000.wav	nn08c_1015	1	
2040.2045	5.774	nn08c_20190216_000000.wav	nn08c_1016	1	
2742.6216	2.811	nn08c_20190216_000000.wav	nn08c_1017	1	
2764.2911	3.271	nn08c_20190216_000000.wav	nn08c_1018	1	
2770.6795	3.679	nn08c_20190216_000000.wav	nn08c_1019	1	
2975.3587	5.826	nn08c_20190216_000000.wav	nn08c_1020	1	h
4408.0882	3.067	nn08c_20190216_000000.wav	nn08c_1021	1	
14883.3918	4.395	nn08c_20190216_000000.wav	nn08c_1022	1	
62023.7118	5.162	nn08c_20190216_000000.wav	nn08c_1023	1	
65693.541	4.6	nn08c_20190216_000000.wav	nn08c_1024	1	
69108.8894	2.964	nn08c_20190216_000000.wav	nn08c_1025	1	
69118.2931	3.271	nn08c_20190216_000000.wav	nn08c_1026	1	
69129.5878	4.6	nn08c_20190216_000000.wav	nn08c_1027	1	
69141.7001	3.271	nn08c_20190216_000000.wav	nn08c_1028	1	
69252.498	4.958	nn08c_20190216_000000.wav	nn08c_1029	1	
56.0994	4.695	nn02d_20181022_000000.wav	nn02d_363	1	h
86.3413	3.315	nn02d_20181022_000000.wav	nn02d_364	1	
1848.043	5.662	nn02d_20181022_000000.wav	nn02d_365	1	
25272.6885	5.903	nn02d_20181022_000000.wav	nn02d_366	1	
25286.8081	5.765	nn02d_20181022_000000.wav	nn02d_367	1	
25695.6204	5.696	nn02d_20181022_000000.wav	nn02d_368	1	
25958.7476	5.765	nn02d_20181022_000000.wav	nn02d_369	1	
26292.3355	6.421	nn02d_20181022_000000.wav	nn02d_370	1	
26756.8495	4.418	nn02d_20181022_000000.wav	nn02d_371	1	h
26763.3743	3.211	nn02d_20181022_000000.wav	nn02d_372	1	
27332.1639	2.589	nn02d_20181022_000000.wav	nn02d_373	1	
27336.2375	4.384	nn02d_20181022_000000.wav	nn02d_374	1	
27398.9994	9.182	nn02d_20181022_000000.wav	nn02d_375	1	
27672.4908	5.731	nn02d_20181022_000000.wav	nn02d_376	1	
29701.4749	5.869	nn02d_20181022_000000.wav	nn02d_377	1	
32592.7246	2.382	nn02d_20181022_000000.wav	nn02d_378	1	
35435.1248	6.214	nn02d_20181022_000000.wav	nn02d_379	1	h
46001.1894	7.318	nn02d_20181022_000000.wav	nn02d_380	1	
46104.7538	6.387	nn02d_20181022_000000.wav	nn02d_381	1	
46393.9017	7.146	nn02d_20181022_000000.wav	nn02d_382	1	
49028.0169	6.076	nn02d_20181022_000000.wav	nn02d_383	1	
64873.2266	7.284	nn02d_20181022_000000.wav	nn02d_384	1	
66159.7388	6.179	nn02d_20181022_000000.wav	nn02d_385	1	
311.186	5.622	nn08c_20180814_000000.wav	nn08c_891	1	
726.7374	5.213	nn08c_20180814_000000.wav	nn08c_892	1	
923.1817	4.089	nn08c_20180814_000000.wav	nn08c_893	1	
935.0389	5.111	nn08c_20180814_000000.wav	nn08c_894	1	
1356.1281	3.68	nn08c_20180814_000000.wav	nn08c_895	1	h
1369.9782	2.504	nn08c_20180814_000000.wav	nn08c_896	1	h
1374.1179	3.169	nn08c_20180814_000000.wav	nn08c_897	1	h
1379.7907	5.417	nn08c_20180814_000000.wav	nn08c_898	1	
1390.9321	3.834	nn08c_20180814_000000.wav	nn08c_899	1	
2332.5878	4.344	nn08c_20180814_000000.wav	nn08c_900	1	
3968.5606	3.22	nn08c_20180814_000000.wav	nn08c_901	1	
459.2499	3.353	nn02d_20180614_000000.wav	nn02d_265	1	
467.1431	3.714	nn02d_20180614_000000.wav	nn02d_266	1	
481.7949	4.024	nn02d_20180614_000000.wav	nn02d_267	1	
11552.1504	3.766	nn02d_20180614_000000.wav	nn02d_268	1	
12943.8451	5.365	nn02d_20180614_000000.wav	nn02d_269	1	
19030.3051	4.591	nn02d_20180614_000000.wav	nn02d_270	1	
19035.5674	6.707	nn02d_20180614_000000.wav	nn02d_271	1	
19493.7205	5.262	nn02d_20180614_000000.wav	nn02d_272	1	
19537.4845	4.85	nn02d_20180614_000000.wav	nn02d_273	1	
20916.0906	3.973	nn02d_20180614_000000.wav	nn02d_274	1	
24728.3862	6.603	nn02d_20180614_000000.wav	nn02d_275	1	
26659.3204	4.076	nn02d_20180614_000000.wav	nn02d_276	1	
27503.033	5.105	nn02d_20180614_000000.wav	nn02d_277	1	
27602.755	6.652	nn02d_20180614_000000.wav	nn02d_278	1	
27842.3911	5.056	nn02d_20180614_000000.wav	nn02d_279	1	
33834.9075	6.965	nn02d_20180614_000000.wav	nn02d_280	1	h
34379.7001	3.353	nn02d_20180614_000000.wav	nn02d_281	1	
37419.0591	7.326	nn02d_20180614_000000.wav	nn02d_282	1	
52667.3492	4.075	nn02d_20180614_000000.wav	nn02d_283	1	
1420.3763	4.823	nn02d_20180825_000000.wav	nn02d_305	1	
1601.2909	5.661	nn02d_20180825_000000.wav	nn02d_306	1	
4546.7045	4.573	nn02d_20180825_000000.wav	_1184	1	
4783.8166	5.673	nn02d_20180825_000000.wav	nn02d_307	1	h
4785.947	1.896	nn02d_20180825_000000.wav	nn02d_308	1	
4800.1197	3.782	nn02d_20180825_000000.wav	nn02d_309	1	
4828.3824	4.089	nn02d_20180825_000000.wav	nn02d_310	1	h
4833.0842	6.44	nn02d_20180825_000000.wav	nn02d_311	1	h
4844.3789	5.979	nn02d_20180825_000000.wav	nn02d_312	1	h
4933.6605	1.942	nn02d_20180825_000000.wav	nn02d_313	1	
4950.7814	5.162	nn02d_20180825_000000.wav	nn02d_314	1	
4962.6894	4.293	nn02d_20180825_000000.wav	nn02d_315	1	
4996.6727	3.884	nn02d_20180825_000000.wav	nn02d_316	1	
5043.1634	4.395	nn02d_20180825_000000.wav	nn02d_317	1	
5072.4992	2.351	nn02d_20180825_000000.wav	nn02d_318	1	
5080.9319	4.037	nn02d_20180825_000000.wav	nn02d_319	1	
5088.8024	4.242	nn02d_20180825_000000.wav	nn02d_320	1	
5180.8888	3.986	nn02d_20180825_000000.wav	nn02d_321	1	
10328.7378	3.935	nn02d_20180825_000000.wav	nn02d_322	1	
11646.4339	5.826	nn02d_20180825_000000.wav	nn02d_323	1	
11741.4936	4.293	nn02d_20180825_000000.wav	nn02d_324	1	
33632.9048	4.73	nn02d_20180825_000000.wav	nn02d_325	1	
33636.0069	7.226	nn02d_20180825_000000.wav	nn02d_326	1	
47453.696	5.622	nn02d_20180825_000000.wav	nn02d_327	1	
49175.297	8.433	nn02d_20180825_000000.wav	nn02d_328	1	
49447.2874	6.9	nn02d_20180825_000000.wav	nn02d_329	1	
50083.7249	5.468	nn02d_20180825_000000.wav	nn02d_330	1	
50538.5143	5.469	nn02d_20180825_000000.wav	nn02d_331	1	
50565.55	7.206	nn02d_20180825_000000.wav	nn02d_332	1	
50623.8636	3.629	nn02d_20180825_000000.wav	nn02d_333	1	
50698.7639	9.25	nn02d_20180825_000000.wav	nn02d_334	1	h
65913.9726	5.162	nn02d_20180825_000000.wav	nn02d_335	1	
1693.1955	3.383	nn02d_20181115_000000.wav	nn02d_386	1	
2032.859	3.832	nn02d_20181115_000000.wav	nn02d_387	1	
2130.9	5.041	nn02d_20181115_000000.wav	nn02d_388	1	
2228.5955	4.211	nn02d_20181115_000000.wav	nn02d_389	1	
2273.7852	2.831	nn02d_20181115_000000.wav	nn02d_390	1	
3293.169	5.904	nn02d_20181115_000000.wav	nn02d_391	1	
3327.9992	3.038	nn02d_20181115_000000.wav	nn02d_392	1	
3417.8133	6.662	nn02d_20181115_000000.wav	nn02d_393	1	
3511.1905	5.454	nn02d_20181115_000000.wav	nn02d_394	1	h
3519.3724	4.729	nn02d_20181115_000000.wav	nn02d_395	1	
3539.3263	4.695	nn02d_20181115_000000.wav	nn02d_396	1	
3550.8194	5.213	nn02d_20181115_000000.wav	nn02d_397	1	
3588.7249	6.559	nn02d_20181115_000000.wav	nn02d_398	1	
3624.7979	3.211	nn02d_20181115_000000.wav	nn02d_399	1	
3678.4082	7.492	nn02d_20181115_000000.wav	nn02d_400	1	
3739.7861	2.969	nn02d_20181115_000000.wav	nn02d_401	1	
3749.4179	5.386	nn02d_20181115_000000.wav	nn02d_402	1	
3772.0645	7.353	nn02d_20181115_000000.wav	nn02d_403	1	
3803.3735	2.554	nn02d_20181115_000000.wav	nn02d_404	1	
3814.3171	3.867	nn02d_20181115_000000.wav	nn02d_405	1	
3853.428	6.836	nn02d_20181115_000000.wav	nn02d_406	1	
3970.1841	4.73	nn02d_20181115_000000.wav	nn02d_407	1	
63730.9876	4.293	nn02d_20181115_000000.wav	nn02d_408	1	
64877.3034	4.19	nn02d_20181115_000000.wav	nn02d_409	1	
65608.7912	6.798	nn02d_20181115_000000.wav	nn02d_410	1	
65702.2776	6.593	nn02d_20181115_000000.wav	nn02d_411	1	
66110.8675	6.848	nn02d_20181115_000000.wav	nn02d_412	1	
66232.4116	4.191	nn02d_20181115_000000.wav	nn02d_413	1	
66461.3402	6.9	nn02d_20181115_000000.wav	nn02d_414	1	
67623.6204	4.395	nn02d_20181115_000000.wav	nn02d_415	1	
67669.2591	5.571	nn02d_20181115_000000.wav	nn02d_416	1	
67752.2684	5.673	nn02d_20181115_000000.wav	nn02d_417	1	
68414.924	5.775	nn02d_20181115_000000.wav	nn02d_418	1	
68909.9471	5.827	nn02d_20181115_000000.wav	nn02d_419	1	
68918.942	4.907	nn02d_20181115_000000.wav	nn02d_420	1	
69309.601	5.775	nn02d_20181115_000000.wav	nn02d_421	1	
69917.8751	3.016	nn02d_20181115_000000.wav	nn02d_422	1	h
