Selection	High Freq (Hz)	File Offset (s)	filename	duration	marginals
1	36.6	29314.08	nn01d_20180127_000000.wav	4.407	
2	31.2	32552.884	nn01d_20180127_000000.wav	3.954	
3	39.1	40181.978	nn01d_20180127_000000.wav	6.526	
4	40	22722.894	nn02e_20180906_000000.wav	5.32	
5	30.3	22726.736	nn02e_20180906_000000.wav	3.029	
6	52.2	22727.254	nn02e_20180906_000000.wav	2.069	
7	30.9	22729.396	nn02e_20180906_000000.wav	4.692	
8	48.9	22736.032	nn02e_20180906_000000.wav	4.729	
9	35.6	22737.953	nn02e_20180906_000000.wav	7.389	
10	49.7	22740.776	nn02e_20180906_000000.wav	1.367	
11	32.2	22752.658	nn02e_20180906_000000.wav	2.734	
12	45.6	22752.916	nn02e_20180906_000000.wav	3.731	
13	31.1	22757.424	nn02e_20180906_000000.wav	3.658	
14	45.6	22759.012	nn02e_20180906_000000.wav	4.064	
15	46.7	22766.697	nn02e_20180906_000000.wav	2.66	maginal
16	30	22768.581	nn02e_20180906_000000.wav	2.512	
17	45.6	22785.946	nn02e_20180906_000000.wav	4.027	
18	44.4	22792.581	nn02e_20180906_000000.wav	4.433	
19	46.7	22804.293	nn02e_20180906_000000.wav	2.919	
20	43.3	22818.037	nn02e_20180906_000000.wav	3.547	
21	40.6	19486.509	nn03a_20180709_000000.wav	3.355	
22	39.4	19498.994	nn03a_20180709_000000.wav	2.945	maginal
23	54.5	19504.658	nn03a_20180709_000000.wav	4.584	maginal
24	40.6	22694.758	nn03a_20180709_000000.wav	2.237	maginal
25	51	26139.242	nn03a_20180709_000000.wav	2.311	maginal
26	51	27040.323	nn03a_20180709_000000.wav	2.199	maginal
27	53.4	27818.497	nn03a_20180709_000000.wav	2.087	
28	48.7	28023.13	nn03a_20180709_000000.wav	1.827	
29	53.4	28296.41	nn03a_20180709_000000.wav	2.646	
30	67.493	28316.4506	nn03a_20180709_000000.wav	4.1834	
31	37.1	28329.838	nn03a_20180709_000000.wav	3.802	
32	53.4	28332.074	nn03a_20180709_000000.wav	4.137	maginal
33	49.9	28342.584	nn03a_20180709_000000.wav	6.112	
34	51	28355.143	nn03a_20180709_000000.wav	2.833	maginal
35	48.7	28556.348	nn03a_20180709_000000.wav	3.131	
36	37.1	28557.615	nn03a_20180709_000000.wav	2.982	
37	52.2	28591.528	nn03a_20180709_000000.wav	2.199	maginal
38	53.4	28610.273	nn03a_20180709_000000.wav	1.864	
39	49.9	28627.081	nn03a_20180709_000000.wav	2.684	maginal
40	37.1	28701.876	nn03a_20180709_000000.wav	4.212	
41	49.9	28898.46	nn03a_20180709_000000.wav	3.764	
42	34.8	28900.323	nn03a_20180709_000000.wav	1.528	
43	51	28909.416	nn03a_20180709_000000.wav	5.665	
44	40.6	28915.006	nn03a_20180709_000000.wav	2.274	
45	48.7	28924.696	nn03a_20180709_000000.wav	3.578	
46	51	28960.696	nn03a_20180709_000000.wav	2.348	maginal
47	46.774	29208.074	nn03a_20180709_000000.wav	4.6736	
48	48.209	29210.3676	nn03a_20180709_000000.wav	2.2046	
49	37.1	29218.472	nn03a_20180709_000000.wav	4.92	
50	52.2	29221.118	nn03a_20180709_000000.wav	3.578	
51	36	29228.683	nn03a_20180709_000000.wav	3.914	
52	41.935	29235.0747	nn03a_20180709_000000.wav	1.7333	
53	36	29238.186	nn03a_20180709_000000.wav	3.5409	
54	53.4	29239.342	nn03a_20180709_000000.wav	2.572	
55	49.9	29245.491	nn03a_20180709_000000.wav	2.609	maginal
56	37.1	29250.522	nn03a_20180709_000000.wav	3.131	
57	49.9	29252.571	nn03a_20180709_000000.wav	2.386	
58	52.2	29261.329	nn03a_20180709_000000.wav	2.05	
59	49.9	29264.012	nn03a_20180709_000000.wav	2.572	
60	39.4	29269.528	nn03a_20180709_000000.wav	4.137	
61	52.2	29271.615	nn03a_20180709_000000.wav	5.553	
62	49.9	29289.242	nn03a_20180709_000000.wav	4.0249	maginal
63	40.6	29307.689	nn03a_20180709_000000.wav	2.46	
64	49.9	29311.453	nn03a_20180709_000000.wav	3.355	
65	35.484	29315.404	nn03a_20180709_000000.wav	1.7085	
66	44.667	29324.6352	nn03a_20180709_000000.wav	1.856	maginal
67	37.1	29326.733	nn03a_20180709_000000.wav	1.305	
68	48.898	29330.9701	nn03a_20180709_000000.wav	1.0491	maginal
69	49.9	29362.584	nn03a_20180709_000000.wav	2.125	maginal
70	34.8	29362.956	nn03a_20180709_000000.wav	1.566	maginal
71	49.9	29406.335	nn03a_20180709_000000.wav	3.914	maginal
72	46.4	29448.261	nn03a_20180709_000000.wav	1.938	
73	45.2	29476.807	nn03a_20180709_000000.wav	4.1	
74	39.4	29562	nn03a_20180709_000000.wav	4.174	
75	51	29566.36	nn03a_20180709_000000.wav	2.646	
76	49.9	29591.404	nn03a_20180709_000000.wav	4.1	
77	52.2	29610.484	nn03a_20180709_000000.wav	3.764	
78	40.6	29614.584	nn03a_20180709_000000.wav	1.454	maginal
79	45.2	29656.957	nn03a_20180709_000000.wav	2.6839	maginal
80	42.9	29668.472	nn03a_20180709_000000.wav	3.355	
81	40.6	29683.23	nn03a_20180709_000000.wav	4.212	
82	51	29688.596	nn03a_20180709_000000.wav	1.305	maginal
83	51	29695.863	nn03a_20180709_000000.wav	2.684	maginal
84	45.2	29710.919	nn03a_20180709_000000.wav	3.6149	
85	52.2	29747.292	nn03a_20180709_000000.wav	1.901	
86	37.19	29783.3348	nn03a_20180709_000000.wav	1.4113	maginal
87	48.7	29785.565	nn03a_20180709_000000.wav	1.454	maginal
88	49.9	29799.764	nn03a_20180709_000000.wav	4.0249	
89	36	29823.279	nn03a_20180709_000000.wav	2.199	
90	47.6	29930.571	nn03a_20180709_000000.wav	1.938	
91	48.7	30053.404	nn03a_20180709_000000.wav	3.914	
92	48.7	30153.876	nn03a_20180709_000000.wav	2.237	maginal
93	47.6	30224.758	nn03a_20180709_000000.wav	2.46	maginal
94	34.8	30231.913	nn03a_20180709_000000.wav	2.2739	maginal
95	46.143	30234.8045	nn03a_20180709_000000.wav	2.6227	maginal
96	49.9	30244.919	nn03a_20180709_000000.wav	2.162	
97	44.1	30252.075	nn03a_20180709_000000.wav	2.609	maginal
98	45.2	30259.602	nn03a_20180709_000000.wav	2.199	
99	51	30499.267	nn03a_20180709_000000.wav	2.721	maginal
100	48.7	30587.441	nn03a_20180709_000000.wav	2.3479	maginal
101	38.3	31005.764	nn03a_20180709_000000.wav	3.131	
102	49.9	31008.149	nn03a_20180709_000000.wav	2.684	
103	45.2	31062.186	nn03a_20180709_000000.wav	3.578	
104	40.6	31094.31	nn03a_20180709_000000.wav	2.162	
105	36	31202.31	nn03a_20180709_000000.wav	3.392	
106	37.1	31211.963	nn03a_20180709_000000.wav	2.945	maginal
107	36.29	31219.0383	nn03a_20180709_000000.wav	2.9248	maginal
108	42.9	31279.528	nn03a_20180709_000000.wav	2.796	maginal
109	38.3	33451.901	nn03a_20180709_000000.wav	3.168	
110	41.322	34141.826	nn03a_20180709_000000.wav	6.0225	
111	42.785	36329.0085	nn03a_20180709_000000.wav	2.4123	maginal
112	38.3	45172.435	nn03a_20180709_000000.wav	4.964	
113	37.1	45188.869	nn03a_20180709_000000.wav	3.205	
114	42.723	45830.3028	nn03a_20180709_000000.wav	2.952	maginal
115	46.98	50143.678	nn03a_20180709_000000.wav	4.7806	maginal
116	37.1	54768.223	nn03a_20180709_000000.wav	3.615	
117	40.6	56122.882	nn03a_20180709_000000.wav	3.69	
118	100	65174.756	nn03a_20180709_000000.wav	3	
119	38.591	65182.456	nn03a_20180709_000000.wav	5.9079	
120	38.3	66323.553	nn03a_20180709_000000.wav	3.131	maginal
121	42.9	67180.062	nn03a_20180709_000000.wav	6	
122	48.7	71604.857	nn03a_20180709_000000.wav	4.92	
123	33.7	51877.565	nn03c_20180625_000000.wav	1.267	maginal
124	32.6	59461.901	nn03c_20180625_000000.wav	7.528	
125	36	61538.31	nn03c_20180625_000000.wav	5.926	
126	32.6	61547.627	nn03c_20180625_000000.wav	4.808	maginal
127	33.7	78207.503	nn03c_20180625_000000.wav	6.037	
128	31.04	39815.856	nn03e_20180806_000000.wav	8.5351	maginal
129	37.123	40869.2795	nn03e_20180806_000000.wav	8.795	maginal
130	47.564	41420.5341	nn03e_20180806_000000.wav	4.509	
131	41.763	41444.9812	nn03e_20180806_000000.wav	4.584	maginal
132	49.884	41817.9503	nn03e_20180806_000000.wav	5.515	
133	31.323	41823.9129	nn03e_20180806_000000.wav	7.864	
134	42.923	41844.149	nn03e_20180806_000000.wav	3.317	
135	46.404	42111.4658	nn03e_20180806_000000.wav	4.174	
136	35.484	42118.6584	nn03e_20180806_000000.wav	4.8084	
137	45.244	42227.031	nn03e_20180806_000000.wav	5.218	
138	48.724	42346.0247	nn03e_20180806_000000.wav	4.361	
139	25.522	42350.385	nn03e_20180806_000000.wav	5.292	
140	44.084	42372.4471	nn03e_20180806_000000.wav	2.496	
141	44.084	42380.9441	nn03e_20180806_000000.wav	4.174	
142	40.603	42444.6335	nn03e_20180806_000000.wav	3.503	
143	44.084	42503.2546	nn03e_20180806_000000.wav	3.615	
