Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)		Begin Path	File Offset (s)	Begin File	Site	hour	fileDate	date(raven)	Tag 1	Tag 2	notes	Analyst	Begin Path (old)
1	Spectrogram 1	1	6315421.997	6315425.992	25.5	54.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	12551.679	nn04d_20180721_000000.wav	nn04d	3	21-Jul-18	21-Jul-18			marginal	elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
2	Spectrogram 1	1	6317168.528	6317171.946	23.2	47.6		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	14298.21	nn04d_20180721_000000.wav	nn04d	3	21-Jul-18	21-Jul-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
3	Spectrogram 1	1	6317194.772	6317199.055	20.9	48.7		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	14324.454	nn04d_20180721_000000.wav	nn04d	3	21-Jul-18	21-Jul-18			marginal	elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
4	Spectrogram 1	1	6317216.969	6317220.264	22	47.6		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	14346.651	nn04d_20180721_000000.wav	nn04d	3	21-Jul-18	21-Jul-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
5	Spectrogram 1	1	6318685.511	6318690.906	16.2	75.4		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	15815.193	nn04d_20180721_000000.wav	nn04d	4	21-Jul-18	21-Jul-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
6	Spectrogram 1	1	6318722.915	6318727.651	19.7	61.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	15852.597	nn04d_20180721_000000.wav	nn04d	4	21-Jul-18	21-Jul-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
7	Spectrogram 1	1	6318781.115	6318788.322	19.7	54.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	15910.797	nn04d_20180721_000000.wav	nn04d	4	21-Jul-18	21-Jul-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
8	Spectrogram 1	1	6318919.931	6318924.214	27.8	49.9		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	16049.613	nn04d_20180721_000000.wav	nn04d	4	21-Jul-18	21-Jul-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
9	Spectrogram 1	1	6319078.431	6319083.826	24.4	87		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	16208.113	nn04d_20180721_000000.wav	nn04d	4	21-Jul-18	21-Jul-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
10	Spectrogram 1	1	6373413.961	6373415.114	13.9	111.4		L:\ELP\Projects\Nouabale\nn_sounds\nn04d\nn04d_20180721_000000.wav	70543.643	nn04d_20180721_000000.wav	nn04d	19	21-Jul-18	21-Jul-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04d_201804_apr\nn04d_20180721_000000.wav
11	Spectrogram 1	1	902102.8348	902105.108	11.2	97.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20171226_000000.wav	38694.2235	nn04e_20171226_000000.wav	nn04e	10	26-Dec-17	26-Dec-17				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201710_oct\nn04e_201710_oct\nn04e_20171226_000000.wav
12	Spectrogram 1	1	902106.5988	902108.5366	18.4	113.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20171226_000000.wav	38697.9875	nn04e_20171226_000000.wav	nn04e	10	26-Dec-17	26-Dec-17				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201710_oct\nn04e_201710_oct\nn04e_20171226_000000.wav
13	Spectrogram 1	1	902110.3628	902111.5553	21.7	82.4		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20171226_000000.wav	38701.7515	nn04e_20171226_000000.wav	nn04e	10	26-Dec-17	26-Dec-17				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201710_oct\nn04e_201710_oct\nn04e_20171226_000000.wav
14	Spectrogram 1	1	902112.1516	902115.4311	21.1	70.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20171226_000000.wav	38703.5402	nn04e_20171226_000000.wav	nn04e	10	26-Dec-17	26-Dec-17				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201710_oct\nn04e_201710_oct\nn04e_20171226_000000.wav
15	Spectrogram 1	1	902115.7293	902119.4001	13.2	104.4		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20171226_000000.wav	38707.118	nn04e_20171226_000000.wav	nn04e	10	26-Dec-17	26-Dec-17				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201710_oct\nn04e_201710_oct\nn04e_20171226_000000.wav
16	Spectrogram 1	1	912717.6548	912722.4249	29	42.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20171226_000000.wav	49309.0435	nn04e_20171226_000000.wav	nn04e	13	26-Dec-17	26-Dec-17				ssl	L:\ELP\Projects\Nouabale\nn_sounds\nn_201710_oct\nn04e_201710_oct\nn04e_20171226_000000.wav
17	Spectrogram 1	1	6391633.133	6391637.334	14.5	34.6		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	2423.234	nn04e_20180818_000000.wav	nn04e	0	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
18	Spectrogram 1	1	6392240.406	6392244.607	14.5	88.2		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	3030.507	nn04e_20180818_000000.wav	nn04e	0	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
19	Spectrogram 1	1	6392921.342	6392925.872	23.4	42.4		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	3711.443	nn04e_20180818_000000.wav	nn04e	1	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
20	Spectrogram 1	1	6403366.815	6403371.716	22.3	41.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	14156.916	nn04e_20180818_000000.wav	nn04e	3	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
21	Spectrogram 1	1	6403375.751	6403382.093	19	43.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	14165.852	nn04e_20180818_000000.wav	nn04e	3	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
22	Spectrogram 1	1	6404084.998	6404091.546	22.3	42.4		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	14875.099	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
23	Spectrogram 1	1	6404128.662	6404132.78	23.4	45.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	14918.763	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
24	Spectrogram 1	1	6404242.399	6404249.221	19.4	50.7		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15032.5	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
